2022-09-25 12:00:29.473 [ConsumeMessageThread_topic_transaction_ins_group_posting_12] ERROR [,] c.s.f.t.integration.urule.impl.URuleClientImpl - Invoke rule engine fail.
2022-09-25 12:00:29.474 [ConsumeMessageThread_topic_transaction_ins_group_posting_12] ERROR [,] c.s.f.c.i.biz.service.node.InterestRateFromRule - installment | param query | uRuleClient get fail. knowledgeId:401, req:{"orderId":"22092500002001131300007262597908","transactionAmount":{"currency":"COP","currencyCode":"COP","amountInMnrUnits":10000000},"settlementAmount":{"currency":"COP","currencyCode":"COP","amountInMnrUnits":10000000},"billingAmount":{"currency":"COP","currencyCode":"COP","amountInMnrUnits":10000000},"conversionBillingDate":"","transactionLocalTime":"Sep 25, 2022 12:38:19 PM","transactionLocalDate":"20220925","countryCode":"COL","mccCode":"4816","merchantName":"AMAZON MX","terminalType":"POS","channelCode":"POMELO","cardNet":"MSC","source":"processor","orderType":"auth","orderStatus":"posted","periods":10,"effectiveTime":"Sep 25, 2022 12:00:23 PM","effectiveGovernApr":0.317000,"referenceType":"order","id":491522,"tenantId":"STCOFINCORE0","entityId":"COCC20230000","createTimeLocal":"Feb 12, 2025 10:00:53 AM","createTimeUtc":"Feb 12, 2025 3:00:53 PM","updateTimeLocal":"Feb 12, 2025 10:00:54 AM","updateTimeUtc":"Feb 12, 2025 3:00:54 PM","cardId":"131300100002325172","customerId":"1313001000011672","accountId":"13130011000022803727","accountBookId":"13130011000022804725"}, result:{"isSuccess":false,"code":"ST012COBSFDCC985","message":"SocketTimeoutException: Read timed out"}
2022-09-25 12:00:29.479 [ConsumeMessageThread_topic_transaction_ins_group_posting_12] ERROR [,] c.s.f.c.i.biz.facade.impl.InstallmentFacadeImpl - installment apply | flow process biz error！ Cal installment interest rate from rule service fail 
2022-09-25 12:00:24.624 [ConsumeMessageThread_topic_transaction_ins_group_posting_14] ERROR [,] c.s.f.c.i.biz.service.node.InstallableCheck - installment | need manual process txn 22092500002001131300007362621305 not installable, reason: Not in order status white list
2022-10-25 12:00:34.050 [SOFA-SEV-BOLT-BIZ-12200-7-T29] ERROR [0a5254e1166671723402843191,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300008258666609
2022-10-25 12:00:34.148 [SOFA-SEV-BOLT-BIZ-12200-7-T9] ERROR [0a5254e1166671723402843241,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300000267331288
2022-10-25 12:00:34.148 [SOFA-SEV-BOLT-BIZ-12200-7-T108] ERROR [0a5254e1166671723402843201,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300009761406753
2022-10-25 12:00:34.249 [SOFA-SEV-BOLT-BIZ-12200-7-T29] ERROR [0a5254e1166671723413343401,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300008158655979
2022-10-25 12:00:34.249 [SOFA-SEV-BOLT-BIZ-12200-7-T20] ERROR [0a5254e1166671723402843221,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300007264565865
2022-10-25 12:00:34.289 [SOFA-SEV-BOLT-BIZ-12200-7-T108] ERROR [0a5254e1166671723416743461,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300000167319265
2022-10-25 12:00:34.418 [SOFA-SEV-BOLT-BIZ-12200-7-T76] ERROR [0a5254e1166671723402843181,0] c.s.f.c.i.b.t.AbstractInsClusterTaskProcessHandler - Installment task processing occurs business error. fix post date is before last statement date. 22092500010003131300006553371479
